date,4. close,4. close,4. close
2015-06-16,45.83,127.6,544.87
2015-06-17,45.97,127.3,546.6
2015-06-18,46.72,127.88,556.18
2015-06-19,46.1,126.6,557.52
2015-06-22,46.23,127.61,559.68
2015-06-23,45.91,127.03,563.39
2015-06-24,45.635,128.11,558.57
2015-06-25,45.65,127.5,557.95
2015-06-26,45.26,126.75,553.06
2015-06-29,44.37,124.53,541.25
2015-06-30,44.15,125.425,540.04
2015-07-01,44.445,126.6,543.3
2015-07-02,44.4,126.44,547.34
2015-07-06,44.39,126.0,545.62
2015-07-07,44.3,125.69,550.03
2015-07-08,44.24,122.57,541.7
2015-07-09,44.52,120.07,544.65
2015-07-10,44.61,123.28,556.11
2015-07-13,45.54,125.66,571.73
2015-07-14,45.62,125.61,584.18
2015-07-15,45.76,126.82,583.96
2015-07-16,46.66,128.51,601.78
2015-07-17,46.62,129.62,699.62
2015-07-20,46.92,132.07,692.84
2015-07-21,47.28,130.75,695.35
2015-07-22,45.54,125.22,695.1
2015-07-23,46.11,125.16,674.73
2015-07-24,45.94,124.5,654.77
2015-07-27,45.35,122.77,658.27
2015-07-28,45.34,123.38,659.66
2015-07-29,46.29,122.99,661.43
2015-07-30,46.88,122.37,664.56
2015-07-31,46.7,121.3,657.5
2015-08-03,46.81,118.44,664.72
2015-08-04,47.54,114.64,661.28
2015-08-05,47.58,115.4,673.29
2015-08-06,46.62,115.13,670.15
2015-08-07,46.74,115.52,664.39
2015-08-10,47.33,119.72,663.14
2015-08-11,46.41,113.49,690.3
2015-08-12,46.74,115.24,691.47
2015-08-13,46.73,115.15,686.51
2015-08-14,47.0,115.96,689.37
2015-08-17,47.32,117.16,694.11
2015-08-18,47.27,116.5,688.73
2015-08-19,46.61,115.01,694.04
2015-08-20,45.66,112.65,679.48
2015-08-21,43.07,105.76,644.03
2015-08-24,41.68,103.12,618.11
2015-08-25,40.47,103.74,612.47
2015-08-26,42.71,109.69,659.74
2015-08-27,43.9,112.92,667.96
2015-08-28,43.93,113.29,659.69
2015-08-31,43.52,112.76,647.82
2015-09-01,41.82,107.72,629.56
